id,age,dist,income,gender,marital_status,target
140,70,4.781292535,"100-149,999",F,M,0
141,77,5.646332525,"10-19,999",M,S,0
142,89,9.057677539,"90-99,999",F,S,0
143,67,3.027125104,"175 - 199,999",M,M,0
144,82,3.526022663,"30-39,999",F,M,0
145,73,5.720826704,,F,,0
146,79,2.460247899,"20-29,999",F,M,0
147,76,0.735912126,"30-39,999",F,S,0
148,71,29.38295849,"100-149,999",M,M,0
149,93,8.601227395,,M,,0
150,85,3.09256217,"30-39,999",F,S,0
151,83,4.142324005,"40-49,999",M,M,0
152,68,3.803529359,"40-49,999",M,S,0
153,77,0.948818297,"20-29,999",F,S,0
154,65,0.877318325,"70-79,999",F,S,0
155,78,5.181163838,"50-59,999",M,S,0
156,70,15.0911832,"60-69,999",M,M,0
157,85,2.972344564,"40-49,999",M,M,0
158,84,12.04864885,"60-69,999",F,S,0
159,85,2.227099235,"30-39,999",F,S,1
160,69,9.888160194,"50-59,999",M,M,1
161,70,7.317608944,"20-29,999",M,M,1
162,73,5.625550368,"10-19,999",M,M,1
163,88,9.449067153,"50-59,999",M,M,1
164,82,2.352772811,"100-149,999",M,M,1
165,84,20.650816,"30-39,999",M,M,1
166,90,1.324441806,,F,S,1
167,92,1.726722691,"40-49,999",F,M,1
168,83,2.003199818,"90-99,999",F,M,1
169,69,2.856043936,"90-99,999",F,M,1
170,87,6.561116533,"10-19,999",F,M,1
171,75,12.59879969,"50-59,999",F,S,1
172,77,5.83029012,"100-149,999",M,M,1
173,76,0.228630778,"90-99,999",F,M,1
174,92,1.044940409,"10-19,999",F,S,0
175,71,2.745068641,"40-49,999",M,S,0
176,81,2.310822446,"100-149,999",M,M,0
177,82,6.244934326,"100-149,999",M,M,0
178,67,11.51519198,250k+,F,M,0
179,81,2.845996963,"50-59,999",M,M,0
180,86,3.272784564,"100-149,999",M,M,0
181,90,16.60982687,"30-39,999",M,M,0
182,65,14.10477644,"30-39,999",M,M,0
183,80,5.346940211,"90-99,999",M,S,0
184,70,2.947452972,"30-39,999",F,M,0
185,85,1.949578432,Under $10k,M,M,0
186,66,7.68513998,"70-79,999",M,S,0
187,78,29.41373579,"10-19,999",M,S,0
188,73,2.506220384,"20-29,999",M,S,0
189,86,9.952578131,,F,M,0
190,91,6.2367695,"150 - 174,999",M,M,0
191,68,13.48481856,"20-29,999",M,S,0
192,82,0.780849467,"100-149,999",F,M,0
193,76,4.863942188,"100-149,999",F,M,0
194,65,8.496267134,"20-29,999",M,S,0
195,74,2.696536771,,F,S,0
196,86,5.398866766,"20-29,999",F,M,1
197,74,4.417565979,"70-79,999",M,,1
198,93,4.209128348,"10-19,999",M,S,1
199,77,1.133767188,"40-49,999",M,M,1
200,89,1.839801781,"10-19,999",M,M,1
201,85,13.9219179,"30-39,999",F,M,1
202,90,1.786479737,"10-19,999",F,S,1
203,78,1.137505322,"50-59,999",F,M,1
204,78,2.029958549,"100-149,999",M,M,1
205,76,5.809091165,"40-49,999",F,M,1
206,88,2.287722832,Under $10k,F,M,1
207,78,17.24861665,"90-99,999",M,M,1
208,78,18.4791347,Under $10k,M,S,1
209,72,9.852243732,"100-149,999",F,M,1
210,67,0.44051173,"100-149,999",M,M,1
211,90,1.665778812,Under $10k,M,S,0
212,89,3.893397987,"30-39,999",F,S,0
213,71,9.728306382,"10-19,999",M,M,0
214,69,1.68469446,"60-69,999",M,M,0
215,67,4.986815443,"50-59,999",F,S,0
216,71,17.11379939,"50-59,999",F,M,0
217,78,1.018768065,"100-149,999",F,M,0
218,67,2.716579174,"50-59,999",F,S,0
219,75,7.719121247,"150 - 174,999",M,M,0
220,70,3.900859505,"90-99,999",M,S,0
221,70,7.207875753,"50-59,999",M,M,0
